date,concept,Relative Demand
2018-01-01,AI research & methodology,0.535035752251984
2018-02-01,AI research & methodology,0.5404775142379106
2018-03-01,AI research & methodology,0.5410122724819324
2018-04-01,AI research & methodology,0.5381443720758374
2018-05-01,AI research & methodology,0.5359016414178428
2018-06-01,AI research & methodology,0.5361381434268867
2018-07-01,AI research & methodology,0.5374455548260821
2018-08-01,AI research & methodology,0.5380683441663296
2018-09-01,AI research & methodology,0.5404597022565664
2018-10-01,AI research & methodology,0.5426269642600883
2018-11-01,AI research & methodology,0.54239138458698
2018-12-01,AI research & methodology,0.5431324854283744
2019-01-01,AI research & methodology,0.5443238485074403
2019-02-01,AI research & methodology,0.5472763155058542
2019-03-01,AI research & methodology,0.5495878085196623
2019-04-01,AI research & methodology,0.5521143120979366
2019-05-01,AI research & methodology,0.5542107630455465
2019-06-01,AI research & methodology,0.5572126654764769
2019-07-01,AI research & methodology,0.5588047595607041
2019-08-01,AI research & methodology,0.5593355453290862
2019-09-01,AI research & methodology,0.5588462326934545
2019-10-01,AI research & methodology,0.5561949192058866
2019-11-01,AI research & methodology,0.5596758326528878
2019-12-01,AI research & methodology,0.5608776263781361
2020-01-01,AI research & methodology,0.5608304103928304
2020-02-01,AI research & methodology,0.5639532212143986
2020-03-01,AI research & methodology,0.5624895262256554
