date,concept,Relative Demand
2018-08-01,AI data management,0.6357816197035175
2018-09-01,AI data management,0.635800757148163
2018-10-01,AI data management,0.6356032441738328
2018-11-01,AI data management,0.6302379477754316
2018-12-01,AI data management,0.6288291299018316
2019-01-01,AI data management,0.6242984233215692
2019-02-01,AI data management,0.6211597749404261
2019-03-01,AI data management,0.6209034629356454
2019-04-01,AI data management,0.6258696475269845
2019-05-01,AI data management,0.6273280848632481
2019-06-01,AI data management,0.6274515646832444
2019-07-01,AI data management,0.6314152412944272
2019-08-01,AI data management,0.640194430564647
2019-09-01,AI data management,0.653039700295898
2019-10-01,AI data management,0.6541405644846777
2019-11-01,AI data management,0.6575386414847725
2019-12-01,AI data management,0.6523043627108388
2020-01-01,AI data management,0.6558288362061817
2020-02-01,AI data management,0.6588317264395683
2020-03-01,AI data management,0.6527495289957944
2020-04-01,AI data management,0.6488018123185889
2020-05-01,AI data management,0.6451564535342695
2020-06-01,AI data management,0.6470442130409533
2020-07-01,AI data management,0.6458577136201584
2020-08-01,AI data management,0.6445833410542501
2020-09-01,AI data management,0.6503298219563564
2020-10-01,AI data management,0.652688718823913
2020-11-01,AI data management,0.6537784838181107
2020-12-01,AI data management,0.6513330833898608
2021-01-01,AI data management,0.6598634162489577
2021-02-01,AI data management,0.6586251263048221
2021-03-01,AI data management,0.6556380514509323
2021-04-01,AI data management,0.6506292204425423
2021-05-01,AI data management,0.6443538434728161
2021-06-01,AI data management,0.6390500758954364
2021-07-01,AI data management,0.6311606126893672
2021-08-01,AI data management,0.6294575225769613
2021-09-01,AI data management,0.6281986659430582
2021-10-01,AI data management,0.6231714398105481
2021-11-01,AI data management,0.6222816515432319
2021-12-01,AI data management,0.6228655642374961
2022-01-01,AI data management,0.6219020348644295
2022-02-01,AI data management,0.6183309516949553
2022-03-01,AI data management,0.6171826158258606
2022-04-01,AI data management,0.6174984933747958
2022-05-01,AI data management,0.6155026990457346
2022-06-01,AI data management,0.616045122261741
2022-07-01,AI data management,0.6150493633663444
2017-12-01,AI web development,0.9774798535464314
2018-01-01,AI web development,0.984701670790352
2018-02-01,AI web development,0.9802178494518118
2018-03-01,AI web development,0.9838325955732996
2018-04-01,AI web development,0.9816716743722661
2018-05-01,AI web development,0.9846837085914292
2018-06-01,AI web development,0.9836874464236662
2018-07-01,AI web development,0.9793052610820039
2018-08-01,AI web development,0.978812953094868
2018-09-01,AI web development,0.9784991049249487
2018-10-01,AI web development,0.9790403491537811
2018-11-01,AI web development,0.9747134561219163
2018-12-01,AI web development,0.9718514344863084
2019-01-01,AI web development,0.9601794851350562
2019-02-01,AI web development,0.9614612518078552
2019-03-01,AI web development,0.9609649283188464
2019-04-01,AI web development,0.9657967768177086
2019-05-01,AI web development,0.9648456701779905
2019-06-01,AI web development,0.9620192134109853
2019-07-01,AI web development,0.9661622668631108
2019-08-01,AI web development,0.9781715900633978
2019-09-01,AI web development,0.9938514634845028
2019-10-01,AI web development,0.998869627383356
2019-11-01,AI web development,0.9986683270090105
2019-12-01,AI web development,0.9930728491981453
2020-01-01,AI web development,0.9992336907902503
2020-02-01,AI web development,0.9996533584561168
2020-03-01,AI web development,0.9920774065611512
2020-04-01,AI web development,0.9865979540231224
2020-05-01,AI web development,0.9817937841713271
2020-06-01,AI web development,0.9855640359984293
2020-07-01,AI web development,0.9829217923780247
2020-08-01,AI web development,0.9824187114885332
2020-09-01,AI web development,0.9906374220226464
2020-10-01,AI web development,0.9925707116106623
2020-11-01,AI web development,0.9910358016348723
2020-12-01,AI web development,0.9887499134693318
2021-01-01,AI web development,0.9972482270547405
2021-02-01,AI web development,1
2021-03-01,AI web development,0.9956958111291677
2021-04-01,AI web development,0.9882241911637039
2021-05-01,AI web development,0.9801487469572291
2021-06-01,AI web development,0.9764551991967306
2021-07-01,AI web development,0.9653060754930869
2021-08-01,AI web development,0.961804079884276
2021-09-01,AI web development,0.9608139249734531
2021-10-01,AI web development,0.9537438246377856
2021-11-01,AI web development,0.9503540890979583
2021-12-01,AI web development,0.9499506524331364
2022-01-01,AI web development,0.9477328737828012
2022-02-01,AI web development,0.9426956566583469
2022-03-01,AI web development,0.941004473226211
2022-04-01,AI web development,0.9454814308032838
2022-05-01,AI web development,0.9410063544135037
2022-06-01,AI web development,0.9400307760550454
2022-07-01,AI web development,0.9327526232646743
