Month-Year,Australia,Belgium,Brazil,Canada,Chile,China,Cyprus,Denmark,Finland,France,Germany,Hong Kong SAR,India,Ireland,Israel,Italy,Luxembourg,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,United Arab Emirates,United Kingdom,United States
2018-08-01,1.06659104,0.995254418,1.134524877,1.059603507,1.099708282,1.125812565,0.850302586,0.924701427,0.982691869,0.989105235,1.058597567,1.146103733,1.000519306,0.953119126,0.883244786,1.024324125,1.001347703,0.979794038,1.185445902,1.162658807,1.163900623,1.034736434,1.022359061,0.992773865,0.991812991,0.994783743,0.989614818,1.198733157,1.023124023,1.047105341
2018-09-01,1.095999536,1.006088982,1.140620458,1.068816712,1.094774934,1.145171681,0.881849423,0.922762982,1.022094834,1.000977339,1.083137573,1.158220286,1.015823343,0.959127549,0.913281942,1.029575736,0.979249501,1.00285007,1.156926255,1.196867194,1.164088765,1.072245515,0.991184906,0.971556417,0.993298832,0.997027853,1.017874872,1.233907258,1.045633402,1.053906909
2018-10-01,1.12282925,1.017679834,1.154698537,1.102522835,1.1336868,1.154900916,0.960207311,0.923063858,1.042369923,1.02793197,1.098729583,1.148968649,1.027255536,0.972876259,0.943393873,1.054603446,1.02132438,1.003302955,1.143894651,1.173240328,1.140583721,1.096280598,1.077960315,0.963165925,0.99500561,1.001428703,1.019589397,1.296312923,1.062724446,1.070455184
2018-11-01,1.135601544,1.044708432,1.190428081,1.112236527,1.201032597,1.176917055,0.953331426,0.950140587,1.075418925,1.032744775,1.094118921,1.222254083,1.049605736,1.002862207,0.932339116,1.075478779,0.994769085,1.030655397,1.19895474,1.193975433,1.177440251,1.073790153,1.110577405,0.955969991,1.001343106,0.993531124,1.032860656,1.331456133,1.081258592,1.086620058
2018-12-01,1.199832938,1.046553658,1.221269274,1.101804479,1.23523634,1.199347301,0.925518907,1.004274197,1.057083893,1.034359765,1.102137285,1.155773272,1.067004816,1.005831332,0.912395388,1.104289004,0.968787236,1.040548752,1.246510879,1.133395081,1.082542458,1.085464252,1.11281846,0.906839426,0.995881113,0.966832885,1.046887653,1.323471145,1.074007373,1.093338709
2019-01-01,1.219439269,1.046756547,1.221635623,1.100910602,1.241787781,1.20623222,0.921932546,0.987170119,1.067814297,1.037455938,1.089516679,1.20027667,1.090827439,1.007210353,0.913403358,1.131764431,0.917949106,1.032318275,1.324505751,1.121446984,1.047807358,1.065797598,1.142192419,0.876876672,1.008432709,0.979714713,1.031955449,1.260348774,1.088776215,1.101576769
2019-02-01,1.23012605,1.04973289,1.238675354,1.133519522,1.305062071,1.214907283,0.75948255,1.049713521,1.032480967,1.035076094,1.096636358,1.223944454,1.113995602,1.012833021,0.903843439,1.132854331,1.173841969,1.043118238,1.302167295,1.113104405,1.057007677,1.053047139,1.19718479,0.95893582,1.024910145,0.984715589,1.064326758,1.34709876,1.105815463,1.119465631
2019-03-01,1.24140884,1.082153777,1.265916275,1.147981735,1.330548556,1.235852019,0.685121558,1.065737684,1.016001851,1.032294952,1.086811377,1.246124917,1.131279056,1.059649917,0.928227101,1.141301285,1.149681261,1.067430428,1.258515937,1.148968311,1.0796902,1.076834647,1.244920953,0.942978378,1.029709725,0.96779715,1.0590358,1.309436976,1.104916482,1.124276738
2019-04-01,1.246293201,1.08221844,1.275138235,1.136347502,1.374112485,1.209093291,0.84517796,1.08166139,1.023996695,1.036973953,1.096493957,1.204968539,1.140737987,1.02863309,0.959207889,1.156500055,1.065594767,1.074370245,1.304947244,1.150925764,1.041622264,1.103876781,1.281590835,0.985381171,1.082317106,0.952121299,1.065840187,1.301219552,1.104707433,1.135179748
2019-05-01,1.238051099,1.051008386,1.281244556,1.160464367,1.375246415,1.20977861,0.916846377,1.109226663,1.051575854,1.035338494,1.084936561,1.24065216,1.153830862,1.0352603,0.94930128,1.147012354,1.130449679,1.095209472,1.27093463,1.113887483,1.042100186,1.071769487,1.306073069,0.94945679,1.1050904,0.946565703,1.083375766,1.24743917,1.108182141,1.137805588
2019-06-01,1.211613057,1.07530427,1.221549043,1.157496297,1.302329199,1.181864325,0.917076248,1.116007835,1.089389944,1.033851802,1.090046356,1.206568651,1.157930818,1.060492767,0.951511784,1.180953558,1.095231499,1.104806869,1.24498838,1.157564196,1.012022782,1.084681105,1.355373513,0.942751835,1.130844163,0.909080464,1.093836954,1.210896445,1.13655107,1.141904217
2019-07-01,1.214597617,1.098063716,1.195701171,1.161104018,1.276744831,1.170623776,1.023940745,1.134851669,1.109884313,1.053487637,1.086239755,1.216512878,1.174453069,1.084250928,0.955381661,1.182948803,1.147451588,1.103520616,1.231308216,1.164176362,0.987612605,1.087101132,1.391120808,0.952705633,1.122492229,0.940889631,1.112843233,1.196667186,1.13747899,1.145354447
2019-08-01,1.225341825,1.087216262,1.20346505,1.17906829,1.265703504,1.142974742,1.482521321,1.141025974,1.098101418,1.078102504,1.08275899,1.188025991,1.195126008,1.108288147,0.957996457,1.165654307,1.0919371,1.10962339,1.191092771,1.156394322,1.00356512,1.108511438,1.430873078,0.96193706,1.150526224,0.992697332,1.120763614,1.185466706,1.147128496,1.154347093
2019-09-01,1.240788835,1.091204747,1.216960751,1.187231125,1.295331452,1.129494585,1.508739699,1.143620207,1.089858327,1.079321726,1.067392999,1.222727603,1.212267907,1.148037,0.948604877,1.167197523,1.113970178,1.104929362,1.182412921,1.126937517,1.031370925,1.086206927,1.510675034,0.983768798,1.172372248,1.006375966,1.114300965,1.181804584,1.148086624,1.161776032
2019-10-01,1.254178236,1.106516258,1.214940246,1.181947731,1.328218063,1.113678184,1.502859344,1.159859637,1.114713974,1.071215381,1.063394104,1.273374374,1.228713885,1.142154012,0.94596103,1.178526055,1.153371152,1.122974133,1.188206062,1.134027682,1.071804885,1.098395261,1.46503716,1.046257354,1.183263029,1.02208576,1.108230836,1.186571558,1.149648322,1.159436948
2019-11-01,1.255708233,1.093393552,1.21671905,1.191315127,1.288012322,1.086376775,1.547359457,1.158957697,1.115971412,1.074246245,1.07268537,1.217740186,1.24319654,1.13186896,0.987963773,1.165224047,1.25280282,1.09835933,1.224162556,1.144810682,1.058577622,1.129014961,1.428760268,1.07891753,1.189081619,1.012446663,1.082033136,1.155279959,1.155339255,1.158170436
2019-12-01,1.23442172,1.080506609,1.19151785,1.219578454,1.273785245,1.076613504,1.573963421,1.135317993,1.149237402,1.066452066,1.085558176,1.246268844,1.254694811,1.156593791,1.025148706,1.148163828,1.402856189,1.108104715,1.216715844,1.139988756,1.057369806,1.108381549,1.411620941,1.144065227,1.197480993,1.044907517,1.091804707,1.162189892,1.184663293,1.159427561
2020-01-01,1.234514748,1.095037298,1.203991812,1.232830187,1.280401344,1.060391797,1.642737749,1.159195487,1.124766101,1.059552677,1.105432099,1.198682328,1.267902324,1.169492667,1.042477705,1.141925955,1.422521997,1.114030891,1.172281921,1.145113416,1.090349755,1.129938306,1.416893661,1.179502992,1.1942986,1.054672848,1.098336615,1.195985926,1.179498744,1.158109231
2020-02-01,1.240862827,1.102950074,1.194613572,1.224379799,1.322487628,1.082209919,1.738497741,1.130321498,1.142192705,1.06018656,1.106831637,1.142580195,1.279856814,1.169526344,1.059594989,1.143123914,1.228633584,1.113182816,1.203468619,1.143351308,1.07241196,1.143785452,1.410599952,1.137598069,1.193936425,1.053846398,1.077018673,1.139067558,1.180531668,1.149461104
2020-03-01,1.242123539,1.08819521,1.202686449,1.231918504,1.263711377,1.09955291,2.251661692,1.132237121,1.157995963,1.088999899,1.117002331,1.154593829,1.311259142,1.186360388,1.043677732,1.165649341,1.346513719,1.119080308,1.318151207,1.173571681,1.06525108,1.135271731,1.403703821,1.186787299,1.227395696,1.045247742,1.080142692,1.129199928,1.206100895,1.168102301
2020-04-01,1.255274434,1.138045462,1.230460851,1.297768063,1.337728973,1.13912386,2.128242104,1.119927,1.151214741,1.131376944,1.136916181,1.211346117,1.40913913,1.293016734,1.061787682,1.206803391,1.379637775,1.136437612,1.347694546,1.163266912,1.100438388,1.14479875,1.380438287,1.209555431,1.246360862,1.071966544,1.074301112,1.149196919,1.253291058,1.201374886
2020-05-01,1.287632468,1.16216136,1.239572711,1.330878698,1.452223816,1.14850293,2.115319068,1.10681436,1.141410594,1.187503001,1.159799423,1.192976729,1.435463697,1.326861052,1.099620207,1.255878375,1.34837825,1.15187626,1.343134526,1.150323026,1.104513057,1.222309037,1.423449178,1.274859015,1.265907188,1.086264609,1.080517655,1.344879722,1.285601123,1.234307202
2020-06-01,1.277293077,1.182769903,1.253253515,1.354913075,1.465949379,1.187981913,2.120345068,1.108753075,1.111002727,1.205379698,1.167983786,1.23944262,1.44883867,1.35424998,1.120793039,1.260207973,1.471783392,1.173219664,1.337295898,1.11516129,1.100043891,1.229599855,1.422806172,1.288211026,1.263143061,1.103042514,1.068343312,1.373702694,1.28659647,1.257168888
